"Date and Time Run 1","Time (s) Run 1","Position, Ch C:1 (m) Run 1","Velocity, Ch C:1 (m/s) Run 1","Acceleration, Ch C:1 (m/s²) Run 1"
10/05/2023 01:16:07 pm,0.000,0.15,,
10/05/2023 01:16:07 pm,0.025,0.15,0.13,
10/05/2023 01:16:07 pm,0.050,0.15,0.13,-0.04
10/05/2023 01:16:07 pm,0.075,0.16,0.13,-0.06
10/05/2023 01:16:07 pm,0.100,0.16,0.12,0.08
10/05/2023 01:16:07 pm,0.125,0.16,0.13,0.18
10/05/2023 01:16:07 pm,0.150,0.17,0.14,-0.09
10/05/2023 01:16:07 pm,0.175,0.17,0.13,-0.69
10/05/2023 01:16:07 pm,0.200,0.17,0.10,-0.85
10/05/2023 01:16:07 pm,0.225,0.18,0.06,-0.23
10/05/2023 01:16:07 pm,0.250,0.17,0.08,0.61
10/05/2023 01:16:07 pm,0.275,0.18,0.12,0.73
10/05/2023 01:16:07 pm,0.300,0.18,0.14,0.11
10/05/2023 01:16:07 pm,0.325,0.19,0.12,-0.40
10/05/2023 01:16:07 pm,0.350,0.19,0.10,-0.48
10/05/2023 01:16:07 pm,0.375,0.19,0.09,-0.34
10/05/2023 01:16:07 pm,0.400,0.19,0.09,-0.30
10/05/2023 01:16:07 pm,0.425,0.19,0.08,-0.30
10/05/2023 01:16:07 pm,0.450,0.20,0.07,-0.24
10/05/2023 01:16:07 pm,0.475,0.20,0.07,-0.18
10/05/2023 01:16:07 pm,0.500,0.20,0.06,-0.17
10/05/2023 01:16:07 pm,0.525,0.20,0.06,-0.20
10/05/2023 01:16:07 pm,0.550,0.20,0.05,-0.21
10/05/2023 01:16:07 pm,0.575,0.20,0.05,-0.17
10/05/2023 01:16:07 pm,0.600,0.20,0.04,-0.08
10/05/2023 01:16:07 pm,0.625,0.21,0.04,-0.01
10/05/2023 01:16:07 pm,0.650,0.21,0.04,-0.03
10/05/2023 01:16:07 pm,0.675,0.21,0.04,0.03
10/05/2023 01:16:07 pm,0.700,0.21,0.04,0.26
10/05/2023 01:16:07 pm,0.725,0.21,0.05,0.32
10/05/2023 01:16:07 pm,0.750,0.21,0.07,-0.12
10/05/2023 01:16:07 pm,0.775,0.21,0.06,-0.75
10/05/2023 01:16:07 pm,0.800,0.22,0.02,-0.65
10/05/2023 01:16:07 pm,0.825,0.21,0.00,0.26
10/05/2023 01:16:07 pm,0.850,0.21,0.03,0.96
10/05/2023 01:16:07 pm,0.875,0.21,0.08,0.77
10/05/2023 01:16:07 pm,0.900,0.22,0.08,-0.14
10/05/2023 01:16:07 pm,0.925,0.22,0.06,-0.87
10/05/2023 01:16:07 pm,0.950,0.22,0.03,-1.01
10/05/2023 01:16:07 pm,0.975,0.22,4.58E-4,-0.59
10/05/2023 01:16:08 pm,1.000,0.22,-0.01,0.10
10/05/2023 01:16:08 pm,1.025,0.22,0.01,0.46
10/05/2023 01:16:08 pm,1.050,0.22,0.03,0.41
10/05/2023 01:16:08 pm,1.075,0.22,0.03,0.16
10/05/2023 01:16:08 pm,1.100,0.22,0.03,0.16
10/05/2023 01:16:08 pm,1.125,0.22,0.03,0.42
10/05/2023 01:16:08 pm,1.150,0.22,0.05,0.54
10/05/2023 01:16:08 pm,1.175,0.23,0.07,0.21
10/05/2023 01:16:08 pm,1.200,0.23,0.07,-0.39
10/05/2023 01:16:08 pm,1.225,0.23,0.05,-0.68
10/05/2023 01:16:08 pm,1.250,0.23,0.02,-0.60
10/05/2023 01:16:08 pm,1.275,0.23,0.02,-0.51
10/05/2023 01:16:08 pm,1.300,0.23,0.01,-0.51
10/05/2023 01:16:08 pm,1.325,0.23,-0.01,-0.20
10/05/2023 01:16:08 pm,1.350,0.23,-0.02,0.53
10/05/2023 01:16:08 pm,1.375,0.23,0.02,0.98
10/05/2023 01:16:08 pm,1.400,0.23,0.06,0.66
10/05/2023 01:16:08 pm,1.425,0.23,0.06,-0.10
10/05/2023 01:16:08 pm,1.450,0.24,0.04,-0.50
10/05/2023 01:16:08 pm,1.475,0.24,0.02,-0.39
10/05/2023 01:16:08 pm,1.500,0.24,0.02,-0.16
10/05/2023 01:16:08 pm,1.525,0.24,0.02,-0.03
10/05/2023 01:16:08 pm,1.550,0.24,0.02,0.04
10/05/2023 01:16:08 pm,1.575,0.24,0.02,0.10
10/05/2023 01:16:08 pm,1.600,0.24,0.02,0.06
10/05/2023 01:16:08 pm,1.625,0.24,0.02,-0.12
10/05/2023 01:16:08 pm,1.650,0.24,0.02,-0.34
10/05/2023 01:16:08 pm,1.675,0.24,0.00,-0.37
10/05/2023 01:16:08 pm,1.700,0.24,-0.01,-0.03
10/05/2023 01:16:08 pm,1.725,0.24,0.00,0.52
10/05/2023 01:16:08 pm,1.750,0.24,0.02,0.78
10/05/2023 01:16:08 pm,1.775,0.24,0.05,0.74
10/05/2023 01:16:08 pm,1.800,0.24,0.06,0.67
10/05/2023 01:16:08 pm,1.825,0.24,0.08,0.62
10/05/2023 01:16:08 pm,1.850,0.24,0.10,0.37
10/05/2023 01:16:08 pm,1.875,0.25,0.10,-0.11
10/05/2023 01:16:08 pm,1.900,0.25,0.09,-0.34
10/05/2023 01:16:08 pm,1.925,0.25,0.07,-0.16
10/05/2023 01:16:08 pm,1.950,0.25,0.08,0.17
10/05/2023 01:16:08 pm,1.975,0.26,0.09,0.29
10/05/2023 01:16:09 pm,2.000,0.26,0.10,0.15
10/05/2023 01:16:09 pm,2.025,0.26,0.10,0.04
10/05/2023 01:16:09 pm,2.050,0.26,0.09,0.04
10/05/2023 01:16:09 pm,2.075,0.27,0.10,0.17
10/05/2023 01:16:09 pm,2.100,0.27,0.10,0.15
10/05/2023 01:16:09 pm,2.125,0.27,0.11,-0.36
10/05/2023 01:16:09 pm,2.150,0.27,0.10,-1.21
10/05/2023 01:16:09 pm,2.175,0.28,0.04,-1.83
10/05/2023 01:16:09 pm,2.200,0.28,-0.01,-1.53
10/05/2023 01:16:09 pm,2.225,0.27,-0.05,-0.56
10/05/2023 01:16:09 pm,2.250,0.27,-0.04,0.14
